layer,z_position_mm,uct_test_a11,uct_test_a22,uct_test_a33
1,0.041,0.772,0.164,0.064
2,0.124,0.728,0.202,0.07
3,0.206,0.816,0.125,0.059
4,0.289,0.807,0.13,0.063
5,0.371,0.82,0.117,0.063
6,0.454,0.816,0.118,0.066
7,0.536,0.8,0.131,0.069
8,0.619,0.768,0.157,0.075
9,0.701,0.705,0.215,0.08
10,0.784,0.305,0.611,0.084
11,0.866,0.322,0.599,0.079
12,0.949,0.694,0.226,0.08
13,1.031,0.779,0.146,0.075
14,1.114,0.8,0.128,0.072
15,1.196,0.816,0.115,0.07
16,1.279,0.821,0.111,0.069
17,1.361,0.827,0.106,0.067
18,1.444,0.812,0.12,0.068
19,1.526,0.726,0.186,0.088
20,1.609,0.769,0.153,0.078
