series,x,y,x_uncertainty,y_uncertainty,pixel_x,pixel_y,pixel_half_height,center_localization_half_width_px,segment_break,status,candidate_id,reviewed_by,review_decision,review_reason,evidence_segment_break,curve_topology,curve_segment,curve_order,data_id,data_provenance,topology_provenance
p1,110.38560746895433,8.75221291273131,2.299599428514796,0.0936751858931757,98,439.0,11.0,0.5,True,visible,line-p1-000001,example-reviewer,accepted,,True,continuous,0,0,curve-p1-000001,reviewed_visible_observation,confirmed_continuous_curve
p1,114.98480632598393,3.881103246286017,2.299599428514796,0.0936751858931899,99,465.0,14.0,0.5,False,visible,line-p1-000002,example-reviewer,accepted,,False,continuous,0,1,curve-p1-000002,reviewed_visible_observation,confirmed_continuous_curve
p1,119.58400518301346,3.60007768860649,2.299599428514796,0.0936751858931757,100,466.5,12.5,0.5,False,visible,line-p1-000003,example-reviewer,accepted,,False,continuous,0,2,curve-p1-000003,reviewed_visible_observation,confirmed_continuous_curve
p1,124.18320404004305,3.0380265732474214,2.299599428514796,0.0936751858931899,101,469.5,3.5,0.5,False,visible,line-p1-000004,example-reviewer,accepted,,False,continuous,0,3,curve-p1-000004,reviewed_visible_observation,confirmed_continuous_curve
p1,128.78240289707264,3.225376945033773,2.299599428514796,0.0936751858931757,102,468.5,1.5,0.5,False,visible,line-p1-000005,example-reviewer,accepted,,False,continuous,0,4,curve-p1-000005,reviewed_visible_observation,confirmed_continuous_curve
p1,133.38160175410223,2.475975457888339,2.299599428514796,0.0936751858931899,103,472.5,5.5,0.5,False,visible,line-p1-000006,example-reviewer,accepted,,False,continuous,0,5,curve-p1-000006,reviewed_visible_observation,confirmed_continuous_curve
p1,137.98080061113183,1.351873227170202,2.299599428514796,0.0936751858931757,104,478.5,4.5,0.5,False,visible,line-p1-000007,example-reviewer,accepted,,False,continuous,0,6,curve-p1-000007,reviewed_visible_observation,confirmed_continuous_curve
p1,142.57999946816142,2.101274714315636,2.299599428514796,0.0936751858931899,105,474.5,13.0,0.5,False,visible,line-p1-000008,example-reviewer,accepted,,False,continuous,0,7,curve-p1-000008,reviewed_visible_observation,confirmed_continuous_curve
p1,147.17919832519095,7.6281106820131725,2.299599428514796,0.0936751858931757,106,445.0,14.5,0.5,False,visible,line-p1-000009,example-reviewer,accepted,,False,continuous,0,8,curve-p1-000009,reviewed_visible_observation,confirmed_continuous_curve
p1,151.77839718222054,8.564862540944958,2.299599428514796,0.0936751858931757,107,440.0,8.5,0.5,False,visible,line-p1-000010,example-reviewer,accepted,,False,continuous,0,9,curve-p1-000010,reviewed_visible_observation,confirmed_continuous_curve
p1,156.37759603925014,10.62571663059488,2.299599428514796,0.0936751858931899,108,429.0,6.0,0.5,False,visible,line-p1-000011,example-reviewer,accepted,,False,continuous,0,10,curve-p1-000011,reviewed_visible_observation,confirmed_continuous_curve
p1,160.97679489627973,12.499220348458465,2.299599428514796,0.0936751858931899,109,419.0,11.0,0.5,False,visible,line-p1-000012,example-reviewer,accepted,,False,continuous,0,11,curve-p1-000012,reviewed_visible_observation,confirmed_continuous_curve
p1,165.57599375330932,14.560074438108387,2.299599428514796,0.0936751858931757,110,408.0,14.0,0.5,False,visible,line-p1-000013,example-reviewer,accepted,,False,continuous,0,12,curve-p1-000013,reviewed_visible_observation,confirmed_continuous_curve
p1,170.1751926103389,17.276654829010567,2.299599428514796,0.0936751858931757,111,393.5,13.5,0.5,False,visible,line-p1-000014,example-reviewer,accepted,,False,continuous,0,13,curve-p1-000014,reviewed_visible_observation,confirmed_continuous_curve
p1,174.77439146736845,19.805884848126396,2.2995994285148527,0.0936751858931899,112,380.0,13.0,0.5,False,visible,line-p1-000015,example-reviewer,accepted,,False,continuous,0,14,curve-p1-000015,reviewed_visible_observation,confirmed_continuous_curve
p1,179.37359032439804,21.30468782241725,2.2995994285148527,0.0936751858931757,113,372.0,7.0,0.5,False,visible,line-p1-000016,example-reviewer,accepted,,False,continuous,0,15,curve-p1-000016,reviewed_visible_observation,confirmed_continuous_curve
p1,183.97278918142763,22.616140424921753,2.2995994285148527,0.0936751858931757,114,365.0,1.0,0.5,False,visible,line-p1-000017,example-reviewer,accepted,,False,continuous,0,16,curve-p1-000017,reviewed_visible_observation,confirmed_continuous_curve
p1,188.57198803845722,21.773063751883143,2.299599428514739,0.0936751858931757,115,369.5,5.5,0.5,False,visible,line-p1-000018,example-reviewer,accepted,,False,continuous,0,17,curve-p1-000018,reviewed_visible_observation,confirmed_continuous_curve
p1,193.1711868954868,20.555286335271816,2.2995994285148527,0.0936751858931899,116,376.0,12.0,0.5,False,visible,line-p1-000019,example-reviewer,accepted,,False,continuous,0,18,curve-p1-000019,reviewed_visible_observation,confirmed_continuous_curve
p1,197.7703857525164,18.77545780330142,2.2995994285148527,0.0936751858931899,117,385.5,9.5,0.5,False,visible,line-p1-000020,example-reviewer,accepted,,False,continuous,0,19,curve-p1-000020,reviewed_visible_observation,confirmed_continuous_curve
p1,211.56798232360518,15.684176668826538,2.2995994285148527,0.0936751858931899,120,402.0,0.5,0.5,False,visible,line-p1-000021,example-reviewer,accepted,,True,continuous,0,20,curve-p1-000021,reviewed_visible_observation,confirmed_continuous_curve
p1,216.16718118063477,16.620928527758323,2.2995994285148527,0.0936751858931899,121,397.0,3.5,0.5,False,visible,line-p1-000022,example-reviewer,accepted,,False,continuous,0,21,curve-p1-000022,reviewed_visible_observation,confirmed_continuous_curve
p1,225.36557889469384,16.620928527758323,2.2995994285148527,0.0936751858931899,123,397.0,0.5,0.5,False,visible,line-p1-000023,example-reviewer,accepted,,True,continuous,0,22,curve-p1-000023,reviewed_visible_observation,confirmed_continuous_curve
p1,229.96477775172343,17.932381130262826,2.2995994285148527,0.0936751858931899,124,390.0,8.0,0.5,False,visible,line-p1-000024,example-reviewer,accepted,,False,continuous,0,23,curve-p1-000024,reviewed_visible_observation,confirmed_continuous_curve
p1,234.56397660875302,18.77545780330142,2.2995994285148527,0.0936751858931899,125,385.5,10.5,0.5,False,visible,line-p1-000025,example-reviewer,accepted,,False,continuous,0,24,curve-p1-000025,reviewed_visible_observation,confirmed_continuous_curve
p1,239.16317546578261,21.398363008310426,2.2995994285148527,0.0936751858931757,126,371.5,14.5,0.5,False,visible,line-p1-000026,example-reviewer,accepted,,False,continuous,0,25,curve-p1-000026,reviewed_visible_observation,confirmed_continuous_curve
p1,243.7623743228122,25.801096745289826,2.2995994285148527,0.0936751858931757,127,348.0,13.0,0.5,False,visible,line-p1-000027,example-reviewer,accepted,,False,continuous,0,26,curve-p1-000027,reviewed_visible_observation,confirmed_continuous_curve
p1,248.3615731798418,27.206224533687504,2.299599428514739,0.0936751858931757,128,340.5,10.5,0.5,False,visible,line-p1-000028,example-reviewer,accepted,,False,continuous,0,27,curve-p1-000028,reviewed_visible_observation,confirmed_continuous_curve
p1,252.9607720368714,29.173403437444257,2.2995994285148527,0.0936751858931828,129,330.0,8.0,0.5,False,visible,line-p1-000029,example-reviewer,accepted,,False,continuous,0,28,curve-p1-000029,reviewed_visible_observation,confirmed_continuous_curve
p1,257.559970893901,30.391180854055577,2.2995994285148527,0.0936751858931828,130,323.5,5.5,0.5,False,visible,line-p1-000030,example-reviewer,accepted,,False,continuous,0,29,curve-p1-000030,reviewed_visible_observation,confirmed_continuous_curve
p1,262.1591697509306,31.234257527094186,2.2995994285148527,0.0936751858931828,131,319.0,2.0,0.5,False,visible,line-p1-000031,example-reviewer,accepted,,False,continuous,0,30,curve-p1-000031,reviewed_visible_observation,confirmed_continuous_curve
p1,266.75836860796016,31.140582341201004,2.2995994285148527,0.0936751858931828,132,319.5,3.5,0.5,False,visible,line-p1-000032,example-reviewer,accepted,,False,continuous,0,31,curve-p1-000032,reviewed_visible_observation,confirmed_continuous_curve
p1,271.35756746498976,29.548104181016967,2.2995994285148527,0.0936751858931828,133,328.0,12.0,0.5,False,visible,line-p1-000033,example-reviewer,accepted,,False,continuous,0,32,curve-p1-000033,reviewed_visible_observation,confirmed_continuous_curve
p1,275.95676632201935,28.330326764405648,2.2995994285148527,0.0936751858931757,134,334.5,10.5,0.5,False,visible,line-p1-000034,example-reviewer,accepted,,False,continuous,0,33,curve-p1-000034,reviewed_visible_observation,confirmed_continuous_curve
p1,280.5559651790488,27.76827564904658,2.2995994285148527,0.0936751858931828,135,337.5,7.5,0.5,False,visible,line-p1-000035,example-reviewer,accepted,,False,continuous,0,34,curve-p1-000035,reviewed_visible_observation,confirmed_continuous_curve
p1,285.1551640360784,29.267078623337433,2.2995994285148527,0.0936751858931828,136,329.5,17.5,0.5,False,visible,line-p1-000036,example-reviewer,accepted,,False,continuous,0,35,curve-p1-000036,reviewed_visible_observation,confirmed_continuous_curve
p1,289.754362893108,31.046907155307828,2.2995994285148527,0.0936751858931757,137,320.0,9.0,0.5,False,visible,line-p1-000037,example-reviewer,accepted,,False,continuous,0,36,curve-p1-000037,reviewed_visible_observation,confirmed_continuous_curve
p1,294.3535617501376,30.67220641173511,2.2995994285148527,0.0936751858931828,138,322.0,10.0,0.5,False,visible,line-p1-000038,example-reviewer,accepted,,False,continuous,0,37,curve-p1-000038,reviewed_visible_observation,confirmed_continuous_curve
p1,298.9527606071672,28.517677136192006,2.2995994285148527,0.0936751858931828,139,333.5,10.5,0.5,False,visible,line-p1-000039,example-reviewer,accepted,,False,continuous,0,38,curve-p1-000039,reviewed_visible_observation,confirmed_continuous_curve
p1,303.5519594641968,26.363147860648894,2.2995994285148527,0.0936751858931757,140,345.0,12.0,0.5,False,visible,line-p1-000040,example-reviewer,accepted,,False,continuous,0,39,curve-p1-000040,reviewed_visible_observation,confirmed_continuous_curve
p1,308.1511583212264,24.489644142785323,2.299599428514739,0.0936751858931757,141,355.0,10.0,0.5,False,visible,line-p1-000041,example-reviewer,accepted,,False,continuous,0,40,curve-p1-000041,reviewed_visible_observation,confirmed_continuous_curve
p1,312.75035717825597,22.616140424921753,2.2995994285148527,0.0936751858931757,142,365.0,7.0,0.5,False,visible,line-p1-000042,example-reviewer,accepted,,False,continuous,0,41,curve-p1-000042,reviewed_visible_observation,confirmed_continuous_curve
p1,317.34955603528556,19.524859290446855,2.2995994285148527,0.0936751858931757,143,381.5,15.5,0.5,False,visible,line-p1-000043,example-reviewer,accepted,,False,continuous,0,42,curve-p1-000043,reviewed_visible_observation,confirmed_continuous_curve
p1,321.94875489231515,17.55768038669011,2.2995994285148527,0.0936751858931899,144,392.0,34.0,0.5,False,visible,line-p1-000044,example-reviewer,accepted,,False,continuous,0,43,curve-p1-000044,reviewed_visible_observation,confirmed_continuous_curve
p1,326.54795374934474,7.15973475254728,2.2995994285148527,0.0936751858931899,145,447.5,27.5,0.5,False,visible,line-p1-000045,example-reviewer,accepted,,False,continuous,0,44,curve-p1-000045,reviewed_visible_observation,confirmed_continuous_curve
p1,331.14715260637433,10.532041444701704,2.2995994285148527,0.0936751858931757,146,429.5,33.0,0.5,False,visible,line-p1-000046,example-reviewer,accepted,,False,continuous,0,45,curve-p1-000046,reviewed_visible_observation,confirmed_continuous_curve
p1,335.7463514634039,12.780245906137992,2.2995994285148527,0.0936751858931757,147,417.5,32.0,0.5,False,visible,line-p1-000047,example-reviewer,accepted,,False,continuous,0,46,curve-p1-000047,reviewed_visible_observation,confirmed_continuous_curve
p1,340.3455503204334,18.494432245621894,2.2995994285148527,0.0936751858931757,148,387.0,15.0,0.5,False,visible,line-p1-000048,example-reviewer,accepted,,False,continuous,0,47,curve-p1-000048,reviewed_visible_observation,confirmed_continuous_curve
p1,349.5439480344926,22.054089309562684,2.2995994285148527,0.0936751858931899,150,368.0,1.0,0.5,False,visible,line-p1-000049,example-reviewer,accepted,,True,continuous,0,48,curve-p1-000049,reviewed_visible_observation,confirmed_continuous_curve
p1,354.1431468915222,22.33511486724221,2.2995994285148527,0.0936751858931757,151,366.5,6.5,0.5,False,visible,line-p1-000050,example-reviewer,accepted,,False,continuous,0,49,curve-p1-000050,reviewed_visible_observation,confirmed_continuous_curve
p1,358.74234574855177,23.084516354387645,2.2995994285148527,0.0936751858931757,152,362.5,3.5,0.5,False,visible,line-p1-000051,example-reviewer,accepted,,False,continuous,0,50,curve-p1-000051,reviewed_visible_observation,confirmed_continuous_curve
p1,363.34154460558136,22.241439681349036,2.2995994285148527,0.0936751858931757,153,367.0,7.0,0.5,False,visible,line-p1-000052,example-reviewer,accepted,,False,continuous,0,51,curve-p1-000052,reviewed_visible_observation,confirmed_continuous_curve
p1,367.94074346261095,21.30468782241725,2.299599428514739,0.0936751858931757,154,372.0,5.0,0.5,False,visible,line-p1-000053,example-reviewer,accepted,,False,continuous,0,52,curve-p1-000053,reviewed_visible_observation,confirmed_continuous_curve
p1,372.53994231964055,20.929987078844533,2.2995994285148527,0.0936751858931757,155,374.0,3.0,0.5,False,visible,line-p1-000054,example-reviewer,accepted,,False,continuous,0,53,curve-p1-000054,reviewed_visible_observation,confirmed_continuous_curve
p1,377.13914117667014,21.679388565989967,2.2995994285148527,0.0936751858931757,156,370.0,4.0,0.5,False,visible,line-p1-000055,example-reviewer,accepted,,False,continuous,0,54,curve-p1-000055,reviewed_visible_observation,confirmed_continuous_curve
p1,381.7383400336997,22.70981561081493,2.2995994285148527,0.0936751858931757,157,364.5,5.5,0.5,False,visible,line-p1-000056,example-reviewer,accepted,,False,continuous,0,55,curve-p1-000056,reviewed_visible_observation,confirmed_continuous_curve
p1,386.3375388907293,23.74024265563989,2.2995994285148527,0.0936751858931899,158,359.0,6.0,0.5,False,visible,line-p1-000057,example-reviewer,accepted,,False,continuous,0,56,curve-p1-000057,reviewed_visible_observation,confirmed_continuous_curve
p1,390.9367377477589,25.145370444037567,2.2995994285148527,0.0936751858931899,159,351.5,6.5,0.5,False,visible,line-p1-000058,example-reviewer,accepted,,False,continuous,0,57,curve-p1-000058,reviewed_visible_observation,confirmed_continuous_curve
p1,395.5359366047885,26.363147860648894,2.2995994285148527,0.0936751858931757,160,345.0,7.0,0.5,False,visible,line-p1-000059,example-reviewer,accepted,,False,continuous,0,58,curve-p1-000059,reviewed_visible_observation,confirmed_continuous_curve
p1,400.135135461818,27.393574905473862,2.2995994285148527,0.0936751858931828,161,339.5,4.5,0.5,False,visible,line-p1-000060,example-reviewer,accepted,,False,continuous,0,59,curve-p1-000060,reviewed_visible_observation,confirmed_continuous_curve
p1,404.7343343188476,28.424001950298823,2.2995994285148527,0.0936751858931828,162,334.0,3.0,0.5,False,visible,line-p1-000061,example-reviewer,accepted,,False,continuous,0,60,curve-p1-000061,reviewed_visible_observation,confirmed_continuous_curve
p1,409.33353317587716,28.79870269387154,2.2995994285148527,0.0936751858931757,163,332.0,2.0,0.5,False,visible,line-p1-000062,example-reviewer,accepted,,False,continuous,0,61,curve-p1-000062,reviewed_visible_observation,confirmed_continuous_curve
p1,413.93273203290676,28.9860530656579,2.2995994285148527,0.0936751858931828,164,331.0,1.0,0.5,False,visible,line-p1-000063,example-reviewer,accepted,,False,continuous,0,62,curve-p1-000063,reviewed_visible_observation,confirmed_continuous_curve
p1,418.53193088993635,28.61135232208518,2.2995994285148527,0.0936751858931828,165,333.0,2.0,0.5,False,visible,line-p1-000064,example-reviewer,accepted,,False,continuous,0,63,curve-p1-000064,reviewed_visible_observation,confirmed_continuous_curve
p1,423.13112974696594,28.049301206726113,2.299599428514739,0.0936751858931828,166,336.0,4.0,0.5,False,visible,line-p1-000065,example-reviewer,accepted,,False,continuous,0,64,curve-p1-000065,reviewed_visible_observation,confirmed_continuous_curve
p1,427.73032860399553,27.206224533687504,2.2995994285148527,0.0936751858931757,167,340.5,4.5,0.5,False,visible,line-p1-000066,example-reviewer,accepted,,False,continuous,0,65,curve-p1-000066,reviewed_visible_observation,confirmed_continuous_curve
p1,432.3295274610251,26.175797488862543,2.2995994285148527,0.0936751858931757,168,346.0,5.0,0.5,False,visible,line-p1-000067,example-reviewer,accepted,,False,continuous,0,66,curve-p1-000067,reviewed_visible_observation,confirmed_continuous_curve
p1,436.9287263180547,25.332720815823933,2.2995994285148527,0.0936751858931757,169,350.5,4.5,0.5,False,visible,line-p1-000068,example-reviewer,accepted,,False,continuous,0,67,curve-p1-000068,reviewed_visible_observation,confirmed_continuous_curve
p1,441.5279251750843,24.489644142785323,2.2995994285148527,0.0936751858931757,170,355.0,3.0,0.5,False,visible,line-p1-000069,example-reviewer,accepted,,False,continuous,0,68,curve-p1-000069,reviewed_visible_observation,confirmed_continuous_curve
p1,446.1271240321139,23.83391784153308,2.2995994285148527,0.0936751858931899,171,358.5,2.5,0.5,False,visible,line-p1-000070,example-reviewer,accepted,,False,continuous,0,69,curve-p1-000070,reviewed_visible_observation,confirmed_continuous_curve
p1,450.7263228891435,23.271866726173997,2.2995994285148527,0.0936751858931899,172,361.5,2.5,0.5,False,visible,line-p1-000071,example-reviewer,accepted,,False,continuous,0,70,curve-p1-000071,reviewed_visible_observation,confirmed_continuous_curve
p1,455.32552174617297,22.616140424921753,2.2995994285148527,0.0936751858931757,173,365.0,3.0,0.5,False,visible,line-p1-000072,example-reviewer,accepted,,False,continuous,0,71,curve-p1-000072,reviewed_visible_observation,confirmed_continuous_curve
p1,459.92472060320256,21.960414123669494,2.2995994285148527,0.0936751858931899,174,368.5,3.5,0.5,False,visible,line-p1-000073,example-reviewer,accepted,,False,continuous,0,72,curve-p1-000073,reviewed_visible_observation,confirmed_continuous_curve
p1,464.52391946023215,21.30468782241725,2.2995994285148527,0.0936751858931757,175,372.0,3.0,0.5,False,visible,line-p1-000074,example-reviewer,accepted,,False,continuous,0,73,curve-p1-000074,reviewed_visible_observation,confirmed_continuous_curve
p1,469.12311831726174,20.836311892951358,2.2995994285148527,0.0936751858931757,176,374.5,1.5,0.5,False,visible,line-p1-000075,example-reviewer,accepted,,False,continuous,0,74,curve-p1-000075,reviewed_visible_observation,confirmed_continuous_curve
p1,473.72231717429133,21.1173374506309,2.2995994285148527,0.0936751858931899,177,373.0,2.0,0.5,False,visible,line-p1-000076,example-reviewer,accepted,,False,continuous,0,75,curve-p1-000076,reviewed_visible_observation,confirmed_continuous_curve
p1,478.3215160313209,21.960414123669494,2.2995994285148527,0.0936751858931899,178,368.5,4.5,0.5,False,visible,line-p1-000077,example-reviewer,accepted,,False,continuous,0,76,curve-p1-000077,reviewed_visible_observation,confirmed_continuous_curve
p1,482.9207148883505,23.084516354387645,2.299599428514739,0.0936751858931757,179,362.5,7.5,0.5,False,visible,line-p1-000078,example-reviewer,accepted,,False,continuous,0,77,curve-p1-000078,reviewed_visible_observation,confirmed_continuous_curve
p1,487.5199137453801,24.5833193286785,2.2995994285148527,0.0936751858931757,180,354.5,8.5,0.5,False,visible,line-p1-000079,example-reviewer,accepted,,False,continuous,0,78,curve-p1-000079,reviewed_visible_observation,confirmed_continuous_curve
p1,492.1191126024097,26.175797488862543,2.2995994285148527,0.0936751858931757,181,346.0,8.0,0.5,False,visible,line-p1-000080,example-reviewer,accepted,,False,continuous,0,79,curve-p1-000080,reviewed_visible_observation,confirmed_continuous_curve
p1,496.7183114594393,27.76827564904658,2.2995994285148527,0.0936751858931828,182,337.5,7.5,0.5,False,visible,line-p1-000081,example-reviewer,accepted,,False,continuous,0,80,curve-p1-000081,reviewed_visible_observation,confirmed_continuous_curve
p1,501.3175103164689,29.267078623337433,2.2995994285148527,0.0936751858931828,183,329.5,7.5,0.5,False,visible,line-p1-000082,example-reviewer,accepted,,False,continuous,0,81,curve-p1-000082,reviewed_visible_observation,confirmed_continuous_curve
p1,505.9167091734985,30.765881597628294,2.2995994285148527,0.0936751858931828,184,321.5,7.5,0.5,False,visible,line-p1-000083,example-reviewer,accepted,,False,continuous,0,82,curve-p1-000083,reviewed_visible_observation,confirmed_continuous_curve
p1,510.51590803052807,32.17100938602597,2.2995994285148527,0.0936751858931757,185,314.0,7.0,0.5,False,visible,line-p1-000084,example-reviewer,accepted,,False,continuous,0,83,curve-p1-000084,reviewed_visible_observation,confirmed_continuous_curve
p1,515.1151068875575,33.95083791799637,2.2995994285148527,0.0936751858931828,186,304.5,3.5,0.5,False,visible,line-p1-000085,example-reviewer,accepted,,False,continuous,0,84,curve-p1-000085,reviewed_visible_observation,confirmed_continuous_curve
p1,519.7143057445871,34.700239405141794,2.2995994285148527,0.0936751858931828,187,300.5,5.5,0.5,False,visible,line-p1-000086,example-reviewer,accepted,,False,continuous,0,85,curve-p1-000086,reviewed_visible_observation,confirmed_continuous_curve
p1,524.3135046016167,35.73066644996676,2.2995994285148527,0.0936751858931828,188,295.0,5.0,0.5,False,visible,line-p1-000087,example-reviewer,accepted,,False,continuous,0,86,curve-p1-000087,reviewed_visible_observation,confirmed_continuous_curve
p1,528.9127034586463,37.13579423836444,2.2995994285148527,0.0936751858931757,189,287.5,6.5,0.5,False,visible,line-p1-000088,example-reviewer,accepted,,False,continuous,0,87,curve-p1-000088,reviewed_visible_observation,confirmed_continuous_curve
p1,533.5119023156759,38.44724684086894,2.2995994285148527,0.0936751858931828,190,280.5,8.5,0.5,False,visible,line-p1-000089,example-reviewer,accepted,,False,continuous,0,88,curve-p1-000089,reviewed_visible_observation,confirmed_continuous_curve
p1,538.1111011727055,40.03972500105298,2.2995994285148527,0.0936751858931828,191,272.0,8.0,0.5,False,visible,line-p1-000090,example-reviewer,accepted,,False,continuous,0,89,curve-p1-000090,reviewed_visible_observation,confirmed_continuous_curve
p1,542.7103000297351,41.44485278945066,2.299599428514739,0.0936751858931757,192,264.5,6.5,0.5,False,visible,line-p1-000091,example-reviewer,accepted,,False,continuous,0,90,curve-p1-000091,reviewed_visible_observation,confirmed_continuous_curve
p1,547.3094988867647,42.475279834275625,2.2995994285148527,0.0936751858931828,193,259.0,4.0,0.5,False,visible,line-p1-000092,example-reviewer,accepted,,False,continuous,0,91,curve-p1-000092,reviewed_visible_observation,confirmed_continuous_curve
p1,551.9086977437943,43.03733094963469,2.2995994285148527,0.0936751858931757,194,256.0,1.0,0.5,False,visible,line-p1-000093,example-reviewer,accepted,,False,continuous,0,92,curve-p1-000093,reviewed_visible_observation,confirmed_continuous_curve
p1,556.5078966008239,42.849980577848335,2.2995994285148527,0.0936751858931828,195,257.0,2.0,0.5,False,visible,line-p1-000094,example-reviewer,accepted,,False,continuous,0,93,curve-p1-000094,reviewed_visible_observation,confirmed_continuous_curve
p1,561.1070954578535,42.194254276596084,2.2995994285148527,0.0936751858931828,196,260.5,4.5,0.5,False,visible,line-p1-000095,example-reviewer,accepted,,False,continuous,0,94,curve-p1-000095,reviewed_visible_observation,confirmed_continuous_curve
