series,segment,x,y,provenance,observed_anchor_count,display_anchor_count,discarded_or_thinned_count,derived_point_count
sound-pressure-level-directivity,0,0.0,63.00480282791879,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,1.0,62.853697859577714,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,2.0,62.7175379125991,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,3.0,62.7175379125991,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,4.0,62.60740162767112,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,5.0,62.504541794991816,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,6.0,62.504541794991816,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,7.0,62.41678399872747,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,8.0,62.367552908295565,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,9.0,62.367552908295565,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,10.0,62.31411884294383,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,11.0,62.24545994735517,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,12.0,62.185814957665514,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,13.0,62.13524346273421,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,14.0,62.13294251320734,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,15.0,62.13294251320734,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,16.0,62.10347306350893,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,17.0,62.083194169252664,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,18.0,62.072126535556045,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,19.0,62.07028148890295,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,20.0,62.0245763428955,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,21.0,61.743098690882896,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,22.0,61.74169784845652,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,23.0,61.74169784845652,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,24.0,61.78275870123551,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,25.0,61.689814858824164,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,26.0,61.74916815816953,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,27.0,61.53967314068478,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,28.0,61.472774277516244,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,29.0,61.4203618313082,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,30.0,61.35979254177498,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,31.0,61.0533906370006,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,32.0,60.8662579624293,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,33.0,60.67629880935597,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,34.0,60.41425466075968,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,35.0,60.24315596978277,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,36.0,60.0399811670145,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,37.0,59.87935595516237,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,38.0,59.72273658526733,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,39.0,59.5447694821584,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,40.0,59.39930872402167,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,41.0,59.32958849397623,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,42.0,59.20038473772121,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,43.0,59.07567420759486,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,44.0,58.95552727764493,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,45.0,58.840013143175995,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,46.0,58.73235791883356,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,47.0,58.63795440867897,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,48.0,58.54317126509869,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,49.0,58.47036840029192,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,50.0,58.38879437164792,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,51.0,58.18925699343578,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,52.0,58.019480189642834,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,53.0,57.85937079176004,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,54.0,57.67279621790222,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,55.0,57.52796675172212,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,56.0,57.34979879737773,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,57.0,57.22085550160183,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,58.0,57.10246568169581,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,59.0,56.9390604172562,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,60.0,56.7002758598588,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,61.0,56.3309232428215,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,62.0,55.96696342675886,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,63.0,55.540655396294625,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,64.0,55.18468921891863,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,65.0,54.767377803150865,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,66.0,54.49167066648688,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,67.0,54.15530502368594,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,68.0,53.91363424648341,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,69.0,53.65207570207488,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,70.0,53.393581028470194,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,71.0,53.086511284643166,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,72.0,52.83661461066032,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,73.0,52.69515333405462,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,74.0,52.455394710312746,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,75.0,52.21954703765074,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,76.0,52.026745113186884,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,77.0,51.913997676446996,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,78.0,51.691453886074584,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,79.0,51.47348418499546,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,80.0,51.10491314650473,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,81.0,50.740390768614624,formal_curve_data_geometry,360,360,0,0
sound-pressure-level-directivity,0,82.0,50.22404295926973,formal_curve_data_geometry,360,360,0,0
