series,x,y,x_uncertainty,y_uncertainty,pixel_x,pixel_y,pixel_half_width,pixel_half_height,center_localization_half_width_px,support_pixels,marker_shape,evidence_status,segment_break,status,candidate_id,guide_residual_px
test-0deg,0.00034782608695651737,4.782783093540104,8.695652173913021e-05,0.14095799206918969,129.0,529.5,2.0,6.5,0.5,54,square,visible_marker_support,True,visible_candidate,line-test-0deg-000001,
test-0deg,0.0033043478260869515,16.482296435281768,8.695652173913021e-05,0.14095799206918969,146.0,488.0,6.5,8.5,0.5,91,square,visible_marker_support,False,visible_candidate,line-test-0deg-000002,
test-0deg,0.010086956521739118,55.668618230512905,8.695652173913021e-05,0.14095799206917548,185.0,349.0,3.5,8.0,0.5,100,square,visible_marker_support,False,visible_candidate,line-test-0deg-000003,
test-0deg,0.013391304347826073,74.27507318364424,8.695652173913021e-05,0.14095799206917548,204.0,283.0,3.5,7.5,0.5,65,square,visible_marker_support,False,visible_candidate,line-test-0deg-000004,
test-0deg,0.015130434782608684,82.73255270779485,8.695652173913021e-05,0.14095799206918969,214.0,253.0,3.5,6.0,0.5,51,square,visible_marker_support,False,visible_candidate,line-test-0deg-000005,
test-0deg,0.0234782608695652,99.64751175609607,8.695652173913021e-05,0.14095799206918969,262.0,193.0,6.5,8.5,0.5,69,square,visible_marker_support,False,visible_candidate,line-test-0deg-000006,
test-0deg,0.02565217391304346,105.00391545472476,8.695652173913021e-05,0.14095799206918969,274.5,174.0,3.5,7.0,0.5,48,square,visible_marker_support,False,visible_candidate,line-test-0deg-000007,
test-0deg,0.028608695652173895,111.4879830899069,8.695652173913021e-05,0.14095799206917548,291.5,151.0,1.5,3.5,0.5,22,square,visible_marker_support,False,visible_candidate,line-test-0deg-000008,
test-0deg,0.03199999999999998,117.12630277267397,8.695652173913021e-05,0.14095799206918969,311.0,131.0,1.5,3.0,0.5,21,square,visible_marker_support,False,visible_candidate,line-test-0deg-000009,
test-0deg,0.047652173913043445,124.45611836027116,8.695652173913715e-05,0.14095799206917548,401.0,105.0,6.0,8.0,0.5,163,square,visible_marker_support,False,visible_candidate,line-test-0deg-000010,
mfh-0deg,0.0013913043478260834,8.870564863546235,8.695652173913021e-05,0.14095799206918969,135,515.0,,0.5,0.5,1,,visible_pixel_support,True,visible_candidate,line-mfh-0deg-000001,4.219089711368838
mfh-0deg,0.0015652173913043438,10.562060768376341,8.695652173913021e-05,0.14095799206918969,136,509.0,,4.0,0.5,9,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000002,2.224634896426778
mfh-0deg,0.0017391304347826042,11.407808720791422,8.695652173913021e-05,0.14095799206918969,137,506.0,,3.5,0.5,8,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000003,3.2449275895023106
mfh-0deg,0.0019130434782608646,12.535472657344826,8.695652173913021e-05,0.14095799206918969,138,502.0,,3.5,0.5,8,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000004,3.2888162954058657
mfh-0deg,0.002086956521739125,12.817388641483177,8.695652173913021e-05,0.14095799206918969,139,501.0,,2.0,0.5,5,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000005,6.365149518948044
mfh-0deg,0.0022608695652173855,13.381220609759879,8.695652173913021e-05,0.14095799206918969,140,499.0,,0.5,0.5,2,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000006,8.482775764939277
mfh-0deg,0.02608695652173911,117.97205072508903,8.695652173913021e-05,0.14095799206917548,277,128.0,,0.5,0.5,1,,visible_pixel_support,True,visible_candidate,line-mfh-0deg-000007,9.793633747670398
mfh-0deg,0.028869565217391285,121.91887450302599,8.695652173913021e-05,0.14095799206918969,293,114.0,,1.0,0.5,3,,visible_pixel_support,True,visible_candidate,line-mfh-0deg-000008,6.6016826712632195
mfh-0deg,0.029043478260869546,122.20079048716434,8.695652173913021e-05,0.14095799206918969,294,113.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000009,6.229798904775336
mfh-0deg,0.029217391304347806,122.48270647130269,8.695652173913021e-05,0.14095799206917548,295,112.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000010,5.856759237340654
mfh-0deg,0.029391304347826067,122.48270647130269,8.695652173913021e-05,0.14095799206917548,296,112.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000011,6.483300172217298
mfh-0deg,0.029565217391304327,122.76462245544104,8.695652173913021e-05,0.14095799206917548,297,111.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000012,6.1101582126634355
mfh-0deg,0.029739130434782587,122.76462245544104,8.695652173913021e-05,0.14095799206917548,298,111.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000013,6.738069861937191
mfh-0deg,0.029913043478260848,123.0465384395794,8.695652173913021e-05,0.14095799206917548,299,110.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000014,6.367771623296662
mfh-0deg,0.03008695652173911,123.32845442371774,8.695652173913021e-05,0.14095799206918969,300,109.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000015,6.0
mfh-0deg,0.03026086956521737,123.32845442371774,8.695652173913021e-05,0.14095799206918969,301,109.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000016,6.632073054295134
mfh-0deg,0.03043478260869563,123.6103704078561,8.695652173913021e-05,0.14095799206918969,302,108.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000017,6.260821439927369
mfh-0deg,0.03060869565217389,123.89228639199446,8.695652173913021e-05,0.14095799206917548,303,107.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000018,5.886250547400991
mfh-0deg,0.03078260869565215,123.89228639199446,8.695652173913021e-05,0.14095799206917548,304,107.0,,0.5,0.5,2,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000019,6.508365767220241
mfh-0deg,0.033565217391304324,126.99336221751635,8.695652173913021e-05,0.14095799206917548,320,96.0,,0.5,0.5,2,,visible_pixel_support,True,visible_candidate,line-mfh-0deg-000020,5.015919214812868
mfh-0deg,0.033739130434782584,127.2752782016547,8.695652173913021e-05,0.14095799206917548,321,95.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000021,4.582523091660022
mfh-0deg,0.033913043478260844,127.2752782016547,8.695652173913021e-05,0.14095799206917548,322,95.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000022,5.145910109929531
mfh-0deg,0.034086956521739105,127.55719418579305,8.695652173913021e-05,0.14095799206917548,323,94.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000023,4.70608566012568
mfh-0deg,0.034260869565217365,127.55719418579305,8.695652173913021e-05,0.14095799206917548,324,94.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000024,5.263055132752683
mfh-0deg,0.03443478260869563,127.8391101699314,8.695652173913715e-05,0.14095799206917548,325,93.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000025,4.8168239183148245
mfh-0deg,0.03460869565217389,127.8391101699314,8.695652173913021e-05,0.14095799206917548,326,93.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000026,5.367397407316375
mfh-0deg,0.034782608695652154,128.12102615406977,8.695652173913021e-05,0.14095799206918969,327,92.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000027,4.914780990261576
mfh-0deg,0.034956521739130414,128.12102615406977,8.695652173913021e-05,0.14095799206918969,328,92.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000028,5.458980057654699
mfh-0deg,0.035130434782608674,128.40294213820812,8.695652173913021e-05,0.14095799206918969,329,91.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000029,5.0
mfh-0deg,0.035304347826086935,128.40294213820812,8.695652173913021e-05,0.14095799206918969,330,91.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000030,5.538732215283588
mfh-0deg,0.035478260869565195,128.68485812234647,8.695652173913021e-05,0.14095799206918969,331,90.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000031,5.075959569947855
mfh-0deg,0.035652173913043456,128.96677410648482,8.695652173913021e-05,0.14095799206916126,332,89.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000032,4.6115246571814765
mfh-0deg,0.035826086956521716,128.68485812234647,8.695652173913021e-05,0.14095799206918969,333,90.0,,0.5,0.5,1,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000033,6.145270070173169
mfh-0deg,0.03878260869565215,131.50401796373,8.695652173913021e-05,0.14095799206918969,350,80.0,,0.5,0.5,2,,visible_pixel_support,True,visible_candidate,line-mfh-0deg-000034,4.788004731861193
mfh-0deg,0.03895652173913041,131.50401796373,8.695652173913021e-05,0.14095799206918969,351,80.0,,0.5,0.5,2,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000035,5.2620794437648755
mfh-0deg,0.03913043478260867,131.78593394786836,8.695652173913021e-05,0.14095799206918969,352,79.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000036,4.731343752011853
mfh-0deg,0.03930434782608693,131.78593394786836,8.695652173913021e-05,0.14095799206918969,353,79.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000037,5.19564024979077
mfh-0deg,0.03947826086956519,132.0678499320067,8.695652173913021e-05,0.14095799206916126,354,78.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000038,4.6548115302903454
mfh-0deg,0.03965217391304345,132.0678499320067,8.695652173913021e-05,0.14095799206916126,355,78.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000039,5.108700186699295
mfh-0deg,0.03982608695652171,132.34976591614506,8.695652173913021e-05,0.14095799206918969,356,77.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000040,4.557148812206279
mfh-0deg,0.03999999999999997,132.34976591614506,8.695652173913021e-05,0.14095799206918969,357,77.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000041,5.0
mfh-0deg,0.040173913043478233,132.6316819002834,8.695652173913021e-05,0.14095799206918969,358,76.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000042,4.439079749480442
mfh-0deg,0.040347826086956494,132.6316819002834,8.695652173913715e-05,0.14095799206918969,359,76.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000043,4.876205898225493
mfh-0deg,0.040521739130434754,132.91359788442176,8.695652173913715e-05,0.14095799206918969,360,75.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000044,4.311208796690778
mfh-0deg,0.040695652173913015,132.91359788442176,8.695652173913715e-05,0.14095799206918969,361,75.0,,1.5,0.5,4,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000045,4.743918795331837
mfh-0deg,0.040869565217391275,132.91359788442176,8.695652173913715e-05,0.14095799206918969,362,75.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000046,5.174166244604294
mfh-0deg,0.041043478260869536,132.91359788442176,8.695652173913715e-05,0.14095799206918969,363,75.0,,0.5,0.5,1,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000047,5.60178149496376
mfh-0deg,0.04399999999999998,135.45084174166695,8.695652173913715e-05,0.14095799206918969,380,66.0,,0.5,0.5,2,,visible_pixel_support,True,visible_candidate,line-mfh-0deg-000048,3.3041239088532777
mfh-0deg,0.04417391304347824,135.45084174166695,8.695652173913715e-05,0.14095799206918969,381,66.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000049,3.655349506684921
mfh-0deg,0.0443478260869565,135.45084174166695,8.695652173913715e-05,0.14095799206918969,382,66.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000050,4.000719564259825
mfh-0deg,0.04452173913043476,135.45084174166695,8.695652173913715e-05,0.14095799206918969,383,66.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000051,4.3400644320335715
mfh-0deg,0.04469565217391302,135.7327577258053,8.695652173913715e-05,0.14095799206918969,384,65.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000052,3.6732144604617787
mfh-0deg,0.04486956521739128,135.7327577258053,8.695652173913715e-05,0.14095799206918969,385,65.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000053,4.0
mfh-0deg,0.04504347826086954,136.01467370994365,8.695652173913715e-05,0.14095799206918969,386,64.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000054,3.320513443396017
mfh-0deg,0.0452173913043478,136.01467370994365,8.695652173913715e-05,0.14095799206918969,387,64.0,,1.0,0.5,3,,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000055,3.6351469478230314
