candidate_id,series,severity,anomaly_type,observed,reason,recommended_action
line-mfh-0deg-000037,mfh-0deg,medium,guide_residual_outlier,5.9207,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000038,mfh-0deg,medium,guide_residual_outlier,8.6487,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000039,mfh-0deg,medium,guide_residual_outlier,11.4138,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000040,mfh-0deg,medium,guide_residual_outlier,13.2041,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000041,mfh-0deg,medium,guide_residual_outlier,15.0078,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000042,mfh-0deg,medium,guide_residual_outlier,7.8128,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000043,mfh-0deg,medium,guide_residual_outlier,10.6075,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000044,mfh-0deg,medium,guide_residual_outlier,10.3797,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000045,mfh-0deg,medium,guide_residual_outlier,12.1178,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000046,mfh-0deg,medium,guide_residual_outlier,14.8097,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000047,mfh-0deg,medium,guide_residual_outlier,17.4437,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000048,mfh-0deg,medium,guide_residual_outlier,17.1615,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000049,mfh-0deg,medium,guide_residual_outlier,17.327,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000050,mfh-0deg,medium,guide_residual_outlier,17.2582,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000051,mfh-0deg,medium,guide_residual_outlier,17.6578,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000052,mfh-0deg,medium,guide_residual_outlier,18.0,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000053,mfh-0deg,medium,guide_residual_outlier,16.2797,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000054,mfh-0deg,medium,guide_residual_outlier,16.51,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000055,mfh-0deg,medium,guide_residual_outlier,17.6928,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000056,mfh-0deg,medium,guide_residual_outlier,11.8994,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000057,mfh-0deg,medium,guide_residual_outlier,12.8031,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000058,mfh-0deg,medium,guide_residual_outlier,11.6745,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000059,mfh-0deg,medium,guide_residual_outlier,10.5156,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000060,mfh-0deg,medium,guide_residual_outlier,10.3281,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000061,mfh-0deg,medium,guide_residual_outlier,10.114,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000062,mfh-0deg,medium,guide_residual_outlier,10.8753,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000063,mfh-0deg,medium,guide_residual_outlier,12.6137,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-0deg-000064,mfh-0deg,medium,guide_residual_outlier,15.3312,系列 mfh-0deg 的引导残差显著高于稳健阈值 5.81px,batch_review
line-mfh-45deg-000001,mfh-45deg,medium,guide_residual_outlier,8.1332,系列 mfh-45deg 的引导残差显著高于稳健阈值 6.78px,batch_review
line-mfh-45deg-000002,mfh-45deg,medium,guide_residual_outlier,7.7748,系列 mfh-45deg 的引导残差显著高于稳健阈值 6.78px,batch_review
line-mfh-45deg-000014,mfh-45deg,medium,guide_residual_outlier,11.6235,系列 mfh-45deg 的引导残差显著高于稳健阈值 6.78px,batch_review
line-mfh-45deg-000015,mfh-45deg,medium,guide_residual_outlier,8.915,系列 mfh-45deg 的引导残差显著高于稳健阈值 6.78px,batch_review
line-mfh-45deg-000351,mfh-45deg,medium,guide_residual_outlier,7.1317,系列 mfh-45deg 的引导残差显著高于稳健阈值 6.78px,batch_review
line-mfh-45deg-000352,mfh-45deg,medium,guide_residual_outlier,7.0313,系列 mfh-45deg 的引导残差显著高于稳健阈值 6.78px,batch_review
line-mfh-45deg-000353,mfh-45deg,medium,guide_residual_outlier,6.932,系列 mfh-45deg 的引导残差显著高于稳健阈值 6.78px,batch_review
line-mfh-45deg-000354,mfh-45deg,medium,guide_residual_outlier,7.8339,系列 mfh-45deg 的引导残差显著高于稳健阈值 6.78px,batch_review
line-mfh-45deg-000355,mfh-45deg,medium,guide_residual_outlier,7.7369,系列 mfh-45deg 的引导残差显著高于稳健阈值 6.78px,batch_review
line-mfh-45deg-000356,mfh-45deg,medium,guide_residual_outlier,7.641,系列 mfh-45deg 的引导残差显著高于稳健阈值 6.78px,batch_review
line-mfh-45deg-000357,mfh-45deg,medium,guide_residual_outlier,7.5462,系列 mfh-45deg 的引导残差显著高于稳健阈值 6.78px,batch_review
line-mfh-45deg-000358,mfh-45deg,medium,guide_residual_outlier,7.4526,系列 mfh-45deg 的引导残差显著高于稳健阈值 6.78px,batch_review
line-mfh-45deg-000359,mfh-45deg,medium,guide_residual_outlier,7.3601,系列 mfh-45deg 的引导残差显著高于稳健阈值 6.78px,batch_review
line-mfh-45deg-000365,mfh-45deg,medium,guide_residual_outlier,7.8297,系列 mfh-45deg 的引导残差显著高于稳健阈值 6.78px,batch_review
line-mfh-45deg-000366,mfh-45deg,medium,guide_residual_outlier,8.7455,系列 mfh-45deg 的引导残差显著高于稳健阈值 6.78px,batch_review
