candidate_id,series,severity,anomaly_type,observed,reason,recommended_action
line-test-0deg-000028,test-0deg,medium,guide_residual_outlier,7.2327,系列 test-0deg 的引导残差显著高于稳健阈值 6.94px,batch_review
line-test-0deg-000033,test-0deg,medium,guide_residual_outlier,7.5994,系列 test-0deg 的引导残差显著高于稳健阈值 6.94px,batch_review
line-test-0deg-000034,test-0deg,medium,guide_residual_outlier,9.3868,系列 test-0deg 的引导残差显著高于稳健阈值 6.94px,batch_review
line-test-0deg-000036,test-0deg,medium,guide_residual_outlier,8.87,系列 test-0deg 的引导残差显著高于稳健阈值 6.94px,batch_review
line-test-0deg-000037,test-0deg,medium,guide_residual_outlier,9.6996,系列 test-0deg 的引导残差显著高于稳健阈值 6.94px,batch_review
line-test-0deg-000052,test-0deg,medium,guide_residual_outlier,9.8825,系列 test-0deg 的引导残差显著高于稳健阈值 6.94px,batch_review
line-test-0deg-000053,test-0deg,medium,guide_residual_outlier,8.6971,系列 test-0deg 的引导残差显著高于稳健阈值 6.94px,batch_review
line-test-0deg-000054,test-0deg,medium,guide_residual_outlier,8.9969,系列 test-0deg 的引导残差显著高于稳健阈值 6.94px,batch_review
line-test-0deg-000056,test-0deg,medium,guide_residual_outlier,7.0576,系列 test-0deg 的引导残差显著高于稳健阈值 6.94px,batch_review
line-test-0deg-000057,test-0deg,medium,guide_residual_outlier,7.3217,系列 test-0deg 的引导残差显著高于稳健阈值 6.94px,batch_review
line-test-45deg-000003,test-45deg,medium,guide_residual_outlier,9.9361,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000004,test-45deg,medium,guide_residual_outlier,9.8861,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000052,test-45deg,medium,guide_residual_outlier,8.834,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000053,test-45deg,medium,guide_residual_outlier,8.7337,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000054,test-45deg,medium,guide_residual_outlier,9.0659,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000055,test-45deg,medium,guide_residual_outlier,9.8236,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000056,test-45deg,medium,guide_residual_outlier,9.6286,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000058,test-45deg,medium,guide_residual_outlier,8.7597,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000059,test-45deg,medium,guide_residual_outlier,9.7918,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000060,test-45deg,medium,guide_residual_outlier,9.7304,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000061,test-45deg,medium,guide_residual_outlier,8.9998,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000062,test-45deg,medium,guide_residual_outlier,9.7021,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000064,test-45deg,medium,guide_residual_outlier,9.3889,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000065,test-45deg,medium,guide_residual_outlier,9.9421,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000066,test-45deg,medium,guide_residual_outlier,9.7174,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000067,test-45deg,medium,guide_residual_outlier,9.3413,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000069,test-45deg,medium,guide_residual_outlier,9.2431,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000070,test-45deg,medium,guide_residual_outlier,9.0401,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000071,test-45deg,medium,guide_residual_outlier,9.2455,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000074,test-45deg,medium,guide_residual_outlier,9.3216,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000075,test-45deg,medium,guide_residual_outlier,9.5,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000076,test-45deg,medium,guide_residual_outlier,9.3333,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000077,test-45deg,medium,guide_residual_outlier,9.4906,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000078,test-45deg,medium,guide_residual_outlier,9.1449,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000079,test-45deg,medium,guide_residual_outlier,8.9451,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000086,test-45deg,medium,guide_residual_outlier,8.9208,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
line-test-45deg-000087,test-45deg,medium,guide_residual_outlier,9.0425,系列 test-45deg 的引导残差显著高于稳健阈值 8.46px,batch_review
