series,x,y,x_uncertainty,y_uncertainty,pixel_x,pixel_y,pixel_half_width,pixel_half_height,support_pixels,marker_shape,evidence_status,segment_break,status,candidate_id,guide_residual_px
simulation-a11,0.04630294803368873,0.7538971380769293,0.012907178146912501,0.011864352246585552,140.0,121.0,4.5,5.0,79,triangle,visible_marker_support,True,visible_candidate,line-simulation-a11-000001,
simulation-a11,0.1266142787255886,0.7752529721207831,0.012907178146912501,0.011864352246585441,168.0,112.0,4.5,5.0,82,triangle,visible_marker_support,False,visible_candidate,line-simulation-a11-000002,
simulation-a11,0.21266213303833847,0.8416933447016618,0.011473047241699952,0.010677917021926997,198.0,84.0,4.0,4.5,69,triangle,visible_marker_support,False,visible_candidate,line-simulation-a11-000003,
simulation-a11,0.29010520191981337,0.85948987307154,0.01720957086255004,0.013050787471244107,225.0,76.5,6.0,5.5,100,triangle,visible_marker_support,False,visible_candidate,line-simulation-a11-000004,
simulation-a11,0.37328479442213824,0.8654220491948328,0.01720957086255004,0.014237222695902663,254.0,74.0,6.0,6.0,102,triangle,visible_marker_support,False,visible_candidate,line-simulation-a11-000005,
simulation-a11,0.45359612511403813,0.8559305673975643,0.01434130905212505,0.011864352246585552,282.0,78.0,5.0,5.0,85,triangle,visible_marker_support,False,visible_candidate,line-simulation-a11-000006,
simulation-a11,0.7017007717158001,0.673219542800148,0.005736523620850198,0.008305046572609887,368.5,155.0,2.0,3.5,32,triangle,visible_marker_support,False,visible_candidate,line-simulation-a11-000007,
simulation-a11,0.7834462333129126,0.6305078747124403,0.015775439957337545,0.020169398819195328,397.0,173.0,5.5,8.5,90,triangle,visible_marker_support,False,visible_candidate,line-simulation-a11-000008,
simulation-a11,0.8035240659858875,0.6305078747124403,0.005736523620849976,0.018982963594536773,404.0,173.0,2.0,8.0,25,triangle,visible_marker_support,False,visible_candidate,line-simulation-a11-000009,
simulation-a11,0.8465479931422626,0.6423722269590257,0.01434130905212494,0.020169398819195328,419.0,168.0,5.0,8.5,63,triangle,visible_marker_support,False,visible_candidate,line-simulation-a11-000010,
simulation-a11,1.1132963415117871,0.8191510754331495,0.004302392715637593,0.008305046572609887,512.0,93.5,1.5,3.5,24,triangle,visible_marker_support,False,visible_candidate,line-simulation-a11-000011,
simulation-a11,1.199344195824537,0.8583034378468815,0.015775439957337545,0.011864352246585552,542.0,77.0,5.5,5.0,92,triangle,visible_marker_support,False,visible_candidate,line-simulation-a11-000012,
simulation-a11,1.2796555265164369,0.8677949196441499,0.015775439957337545,0.011864352246585552,570.0,73.0,5.5,5.0,86,triangle,visible_marker_support,False,visible_candidate,line-simulation-a11-000013,
simulation-a11,1.3614009881135494,0.8630491787455157,0.018643701767762533,0.011864352246585552,598.5,75.0,6.5,5.0,98,triangle,visible_marker_support,False,visible_candidate,line-simulation-a11-000014,
simulation-a11,1.4417123188054493,0.8488119560496131,0.014341309052125162,0.013050787471244107,626.5,81.0,5.0,5.5,90,triangle,visible_marker_support,False,visible_candidate,line-simulation-a11-000015,
simulation-a11,1.6066373729048864,0.7562700085262464,0.012907178146912557,0.011864352246585552,684.0,120.0,4.5,5.0,77,triangle,visible_marker_support,False,visible_candidate,line-simulation-a11-000016,
simulation-a22,0.04917120984411372,0.2128826756326314,0.012907178146912501,0.013050787471244107,141.0,349.0,4.5,5.5,97,circle,visible_marker_support,True,visible_candidate,line-simulation-a22-000001,
simulation-a22,0.10653644605261364,0.19864545293672886,0.025814356293825003,0.016610093145219662,161.0,355.0,9.0,7.0,119,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000002,
simulation-a22,0.1266142787255886,0.18678110069014342,0.0043023927156375374,0.010677917021926997,168.0,360.0,1.5,4.5,22,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000003,
simulation-a22,0.1811112531236635,0.14169656215311854,0.004302392715637482,0.011864352246585552,187.0,379.0,1.5,5.0,19,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000004,
simulation-a22,0.2069256094174885,0.127459339457216,0.022946094483400015,0.020169398819195328,196.0,385.0,8.0,8.5,141,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000005,
simulation-a22,0.24134475114258847,0.11322211676131344,0.008604785431275075,0.013050787471243996,208.0,391.0,3.0,5.5,35,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000006,
simulation-a22,0.29440759463545085,0.10847637586267922,0.04589218896679992,0.020169398819195328,226.5,393.0,16.0,8.5,250,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000007,
simulation-a22,0.42204524519936315,0.10847637586267922,0.07027241435541243,0.020169398819195328,271.0,393.0,24.5,8.5,409,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000008,
simulation-a22,0.49805418317562555,0.13101864513119166,0.004302392715637482,0.014237222695902552,297.5,383.5,1.5,6.0,22,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000009,
simulation-a22,0.513829623132963,0.14169656215311854,0.01434130905212505,0.016610093145219662,303.0,379.0,5.0,7.0,57,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000010,
simulation-a22,0.5697607284362505,0.16423883142163098,0.051628712587650005,0.020169398819195328,322.5,369.5,18.0,8.5,224,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000011,
simulation-a22,0.7002666408105878,0.29000096523543706,0.005736523620849976,0.014237222695902552,368.0,316.5,2.0,6.0,56,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000012,
simulation-a22,0.7719731860712127,0.57355898392883,0.007170654526062581,0.018982963594536773,393.0,197.0,2.5,8.0,30,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000013,
simulation-a22,0.7920510187441876,0.6257621338138061,0.011473047241699952,0.020169398819195328,400.0,175.0,4.0,8.5,66,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000014,
simulation-a22,0.8580210403839625,0.6233892633644891,0.007170654526062581,0.020169398819195328,423.0,176.0,2.5,8.5,33,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000015,
simulation-a22,0.8895719202986374,0.523728704493171,0.004302392715637593,0.020169398819195328,434.0,218.0,1.5,8.5,17,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000016,
simulation-a22,0.9498054183175624,0.2840687891121443,0.008604785431274964,0.014237222695902663,455.0,319.0,3.0,6.0,79,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000017,
simulation-a22,1.0329850108198873,0.17610318366821642,0.022946094483399904,0.020169398819195328,484.0,364.5,8.0,8.5,180,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000018,
simulation-a22,1.0616676289241371,0.16542526664628954,0.004302392715637593,0.014237222695902552,494.0,369.0,1.5,6.0,15,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000019,
simulation-a22,1.1075598178909372,0.15118804395038699,0.03155087991467487,0.020169398819195328,510.0,375.0,11.0,8.5,198,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000020,
simulation-a22,1.1563202686681622,0.12627290423255744,0.005736523620850198,0.016610093145219662,527.0,385.5,2.0,7.0,30,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000021,
simulation-a22,1.193607672203687,0.10847637586267922,0.02581435629382489,0.017796528369878217,540.0,393.0,9.0,7.5,157,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000022,
simulation-a22,1.2251585521183619,0.103730634964045,0.004302392715637593,0.011864352246585552,551.0,395.0,1.5,5.0,22,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000023,
simulation-a22,1.239499861170487,0.101357764514728,0.011473047241700174,0.013050787471244107,556.0,396.0,4.0,5.5,46,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000024,
simulation-a22,1.2796555265164369,0.101357764514728,0.030116749009462485,0.016610093145219662,570.0,396.0,10.5,7.0,174,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000025,
simulation-a22,1.328415977293662,0.101357764514728,0.007170654526062581,0.008305046572609887,587.0,396.0,2.5,3.5,26,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000026,
simulation-a22,1.3628351190187618,0.103730634964045,0.02581435629382489,0.013050787471244107,599.0,395.0,9.0,5.5,162,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000027,
simulation-a22,1.4087273079855618,0.10610350541336211,0.004302392715637593,0.010677917021926997,615.0,394.0,1.5,4.5,11,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000028,
simulation-a22,1.4460147115210866,0.12034072810926477,0.022946094483399904,0.016610093145219773,628.0,388.0,8.0,7.0,145,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000029,
simulation-a22,1.5693499693693616,0.17017100754492376,0.007170654526062581,0.016610093145219662,671.0,367.0,2.5,7.0,18,circle,visible_marker_support,False,visible_candidate,line-simulation-a22-000030,
